X,Y,Bouguer
192,24,-51.42224762
200,24,-49.42718118
208,24,-47.42582931
216,24,-45.41962791
224,24,-43.40972201
232,24,-41.39701436
240,24,-39.38220874
248,24,-37.36584776
256,24,-35.34834512
264,24,-33.33001281
272,24,-31.31108354
280,24,-29.29172902
288,24,-27.27207457
296,24,-25.25221068
304,24,-23.23220198
312,24,-21.21209417
320,24,-19.19191919
328,24,-17.17171717
336,24,-15.15151515
344,24,-13.13131313
352,24,-11.11111111
360,24,-9.090909091
368,24,-7.070707071
376,24,-5.050505051
384,24,-3.03030303
392,24,-1.01010101
400,24,1.01010101
408,24,3.03030303
416,24,5.050505051
424,24,7.070707071
432,24,9.090909091
440,24,11.11111111
448,24,13.13131313
456,24,15.15151515
464,24,17.17171717
472,24,19.19191919
480,24,21.21209417
488,24,23.23220198
496,24,25.25221068
504,24,27.27207457
512,24,29.29172902
520,24,31.31108354
528,24,33.33001281
536,24,35.34834512
544,24,37.36584776
552,24,39.38220874
560,24,41.39701436
568,24,43.40972201
576,24,45.41962791
584,24,47.42582931
592,24,49.42718118
600,24,51.42224762
608,24,53.40924844
616,24,55.38600196
624,24,57.3498656
632,24,59.29767627
640,24,61.22569309
648,24,63.12954569
656,24,65.00419157
664,24,66.84388632
672,24,68.64217091
680,24,70.3918796
688,24,72.08517228
696,24,73.71359378
704,24,75.26816209
712,24,76.73948613
720,24,78.11791192
728,24,79.39369493
736,24,80.55719408
744,24,81.59908191
752,24,82.51056339
760,24,83.28359543
768,24,83.91109775
776,24,84.38714631
784,24,84.70714038
792,24,84.86793539
0,32,-84.86793539
8,32,-84.70714038
16,32,-84.38714631
24,32,-83.91109775
32,32,-83.28359543
40,32,-82.51056339
48,32,-81.59908191
56,32,-80.55719408
64,32,-79.39369493
72,32,-78.11791192
80,32,-76.73948613
88,32,-75.26816209
96,32,-73.71359378
104,32,-72.08517228
112,32,-70.3918796
120,32,-68.64217091
128,32,-66.84388632
136,32,-65.00419157
144,32,-63.12954569
152,32,-61.22569309
160,32,-59.29767627
168,32,-57.3498656
176,32,-55.38600196
184,32,-53.40924844
192,32,-51.42224762
200,32,-49.42718118
208,32,-47.42582931
216,32,-45.41962791
224,32,-43.40972201
232,32,-41.39701436
240,32,-39.38220874
248,32,-37.36584776
256,32,-35.34834512
264,32,-33.33001281
272,32,-31.31108354
280,32,-29.29172902
288,32,-27.27207457
296,32,-25.25221068
304,32,-23.23220198
312,32,-21.21209417
320,32,-19.19191919
328,32,-17.17171717
336,32,-15.15151515
344,32,-13.13131313
352,32,-11.11111111
360,32,-9.090909091
368,32,-7.070707071
376,32,-5.050505051
384,32,-3.03030303
392,32,-1.01010101
400,32,1.01010101
408,32,3.03030303
416,32,5.050505051
424,32,7.070707071
432,32,9.090909091
440,32,11.11111111
448,32,13.13131313
456,32,15.15151515
464,32,17.17171717
472,32,19.19191919
480,32,21.21209417
488,32,23.23220198
496,32,25.25221068
504,32,27.27207457
512,32,29.29172902
520,32,31.31108354
528,32,33.33001281
536,32,35.34834512
544,32,37.36584776
552,32,39.38220874
560,32,41.39701436
568,32,43.40972201
576,32,45.41962791
584,32,47.42582931
592,32,49.42718118
600,32,51.42224762
608,32,53.40924844
616,32,55.38600196
624,32,57.3498656
632,32,59.29767627
640,32,61.22569309
648,32,63.12954569
656,32,65.00419157
664,32,66.84388632
672,32,68.64217091
680,32,70.3918796
688,32,72.08517228
696,32,73.71359378
704,32,75.26816209
712,32,76.73948613
720,32,78.11791192
728,32,79.39369493
736,32,80.55719408
744,32,81.59908191
752,32,82.51056339
760,32,83.28359543
768,32,83.91109775
776,32,84.38714631
784,32,84.70714038
792,32,84.86793539
0,40,-84.86793539
8,40,-84.70714038
16,40,-84.38714631
24,40,-83.91109775
32,40,-83.28359543
40,40,-82.51056339
48,40,-81.59908191
56,40,-80.55719408
64,40,-79.39369493
72,40,-78.11791192
80,40,-76.73948613
88,40,-75.26816209
96,40,-73.71359378
104,40,-72.08517228
112,40,-70.3918796
120,40,-68.64217091
128,40,-66.84388632
136,40,-65.00419157
144,40,-63.12954569
152,40,-61.22569309
160,40,-59.29767627
168,40,-57.3498656
176,40,-55.38600196
184,40,-53.40924844
192,40,-51.42224762
200,40,-49.42718118
208,40,-47.42582931
216,40,-45.41962791
224,40,-43.40972201
232,40,-41.39701436
240,40,-39.38220874
248,40,-37.36584776
256,40,-35.34834512
264,40,-33.33001281
272,40,-31.31108354
280,40,-29.29172902
288,40,-27.27207457
296,40,-25.25221068
304,40,-23.23220198
312,40,-21.21209417
320,40,-19.19191919
328,40,-17.17171717
336,40,-15.15151515
344,40,-13.13131313
352,40,-11.11111111
360,40,-9.090909091
368,40,-7.070707071
376,40,-5.050505051
384,40,-3.03030303
392,40,-1.01010101
400,40,1.01010101
408,40,3.03030303
416,40,5.050505051
424,40,7.070707071
432,40,9.090909091
440,40,11.11111111
448,40,13.13131313
456,40,15.15151515
464,40,17.17171717
472,40,19.19191919
480,40,21.21209417
488,40,23.23220198
496,40,25.25221068
504,40,27.27207457
512,40,29.29172902
520,40,31.31108354
528,40,33.33001281
536,40,35.34834512
544,40,37.36584776
552,40,39.38220874
560,40,41.39701436
568,40,43.40972201
576,40,45.41962791
584,40,47.42582931
592,40,49.42718118
600,40,51.42224762
608,40,53.40924844
616,40,55.38600196
624,40,57.3498656
632,40,59.29767627
640,40,61.22569309
648,40,63.12954569
656,40,65.00419157
664,40,66.84388632
672,40,68.64217091
680,40,70.3918796
688,40,72.08517228
696,40,73.71359378
704,40,75.26816209
712,40,76.73948613
720,40,78.11791192
728,40,79.39369493
736,40,80.55719408
744,40,81.59908191
752,40,82.51056339
760,40,83.28359543
768,40,83.91109775
776,40,84.38714631
784,40,84.70714038
792,40,84.86793539
0,48,-84.86793539
8,48,-84.70714038
16,48,-84.38714631
24,48,-83.91109775
32,48,-83.28359543
40,48,-82.51056339
48,48,-81.59908191
56,48,-80.55719408
64,48,-79.39369493
72,48,-78.11791192
80,48,-76.73948613
88,48,-75.26816209
96,48,-73.71359378
104,48,-72.08517228
112,48,-70.3918796
120,48,-68.64217091
128,48,-66.84388632
136,48,-65.00419157
144,48,-63.12954569
152,48,-61.22569309
160,48,-59.29767627
168,48,-57.3498656
176,48,-55.38600196
184,48,-53.40924844
192,48,-51.42224762
200,48,-49.42718118
208,48,-47.42582931
216,48,-45.41962791
224,48,-43.40972201
232,48,-41.39701436
240,48,-39.38220874
248,48,-37.36584776
256,48,-35.34834512
264,48,-33.33001281
272,48,-31.31108354
280,48,-29.29172902
288,48,-27.27207457
296,48,-25.25221068
304,48,-23.23220198
312,48,-21.21209417
320,48,-19.19191919
328,48,-17.17171717
336,48,-15.15151515
344,48,-13.13131313
352,48,-11.11111111
360,48,-9.090909091
368,48,-7.070707071
376,48,-5.050505051
384,48,-3.03030303
392,48,-1.01010101
400,48,1.01010101
408,48,3.03030303
416,48,5.050505051
424,48,7.070707071
432,48,9.090909091
440,48,11.11111111
448,48,13.13131313
456,48,15.15151515
464,48,17.17171717
472,48,19.19191919
480,48,21.21209417
488,48,23.23220198
496,48,25.25221068
504,48,27.27207457
512,48,29.29172902
520,48,31.31108354
528,48,33.33001281
536,48,35.34834512
544,48,37.36584776
552,48,39.38220874
560,48,41.39701436
568,48,43.40972201
576,48,45.41962791
584,48,47.42582931
592,48,49.42718118
600,48,51.42224762
608,48,53.40924844
616,48,55.38600196
624,48,57.3498656
632,48,59.29767627
640,48,61.22569309
648,48,63.12954569
656,48,65.00419157
664,48,66.84388632
672,48,68.64217091
680,48,70.3918796
688,48,72.08517228
696,48,73.71359378
704,48,75.26816209
712,48,76.73948613
720,48,78.11791192
728,48,79.39369493
736,48,80.55719408
744,48,81.59908191
752,48,82.51056339
760,48,83.28359543
768,48,83.91109775
776,48,84.38714631
784,48,84.70714038
792,48,84.86793539
0,56,-84.86793539
8,56,-84.70714038
16,56,-84.38714631
24,56,-83.91109775
32,56,-83.28359543
40,56,-82.51056339
48,56,-81.59908191
56,56,-80.55719408
64,56,-79.39369493
72,56,-78.11791192
80,56,-76.73948613
88,56,-75.26816209
96,56,-73.71359378
104,56,-72.08517228
112,56,-70.3918796
120,56,-68.64217091
128,56,-66.84388632
136,56,-65.00419157
144,56,-63.12954569
152,56,-61.22569309
160,56,-59.29767627
168,56,-57.3498656
176,56,-55.38600196
184,56,-53.40924844
192,56,-51.42224762
200,56,-49.42718118
208,56,-47.42582931
216,56,-45.41962791
224,56,-43.40972201
232,56,-41.39701436
240,56,-39.38220874
248,56,-37.36584776
256,56,-35.34834512
264,56,-33.33001281
272,56,-31.31108354
280,56,-29.29172902
288,56,-27.27207457
296,56,-25.25221068
304,56,-23.23220198
312,56,-21.21209417
320,56,-19.19191919
328,56,-17.17171717
336,56,-15.15151515
344,56,-13.13131313
352,56,-11.11111111
360,56,-9.090909091
368,56,-7.070707071
376,56,-5.050505051
384,56,-3.03030303
392,56,-1.01010101
400,56,1.01010101
408,56,3.03030303
416,56,5.050505051
424,56,7.070707071
432,56,9.090909091
440,56,11.11111111
448,56,13.13131313
456,56,15.15151515
464,56,17.17171717
472,56,19.19191919
480,56,21.21209417
488,56,23.23220198
496,56,25.25221068
504,56,27.27207457
512,56,29.29172902
520,56,31.31108354
528,56,33.33001281
536,56,35.34834512
544,56,37.36584776
552,56,39.38220874
560,56,41.39701436
568,56,43.40972201
576,56,45.41962791
584,56,47.42582931
592,56,49.42718118
600,56,51.42224762
608,56,53.40924844
616,56,55.38600196
624,56,57.3498656
632,56,59.29767627
640,56,61.22569309
648,56,63.12954569
656,56,65.00419157
664,56,66.84388632
672,56,68.64217091
680,56,70.3918796
688,56,72.08517228
696,56,73.71359378
704,56,75.26816209
712,56,76.73948613
720,56,78.11791192
728,56,79.39369493
736,56,80.55719408
744,56,81.59908191
752,56,82.51056339
760,56,83.28359543
768,56,83.91109775
776,56,84.38714631
784,56,84.70714038
792,56,84.86793539
0,64,-84.86793539
8,64,-84.70714038
16,64,-84.38714631
24,64,-83.91109775
32,64,-83.28359543
40,64,-82.51056339
48,64,-81.59908191
56,64,-80.55719408
64,64,-79.39369493
72,64,-78.11791192
80,64,-76.73948613
88,64,-75.26816209
96,64,-73.71359378
104,64,-72.08517228
112,64,-70.3918796
120,64,-68.64217091
128,64,-66.84388632
136,64,-65.00419157
144,64,-63.12954569
152,64,-61.22569309
160,64,-59.29767627
168,64,-57.3498656
176,64,-55.38600196
184,64,-53.40924844
192,64,-51.42224762
200,64,-49.42718118
208,64,-47.42582931
216,64,-45.41962791
224,64,-43.40972201
232,64,-41.39701436
240,64,-39.38220874
248,64,-37.36584776
256,64,-35.34834512
264,64,-33.33001281
272,64,-31.31108354
280,64,-29.29172902
288,64,-27.27207457
296,64,-25.25221068
304,64,-23.23220198
312,64,-21.21209417
320,64,-19.19191919
328,64,-17.17171717
336,64,-15.15151515
344,64,-13.13131313
352,64,-11.11111111
360,64,-9.090909091
368,64,-7.070707071
376,64,-5.050505051
384,64,-3.03030303
392,64,-1.01010101
400,64,1.01010101
408,64,3.03030303
416,64,5.050505051
424,64,7.070707071
432,64,9.090909091
440,64,11.11111111
448,64,13.13131313
456,64,15.15151515
464,64,17.17171717
472,64,19.19191919
480,64,21.21209417
488,64,23.23220198
496,64,25.25221068
504,64,27.27207457
512,64,29.29172902
520,64,31.31108354
528,64,33.33001281
536,64,35.34834512
544,64,37.36584776
552,64,39.38220874
560,64,41.39701436
568,64,43.40972201
576,64,45.41962791
584,64,47.42582931
592,64,49.42718118
600,64,51.42224762
608,64,53.40924844
616,64,55.38600196
624,64,57.3498656
632,64,59.29767627
640,64,61.22569309
648,64,63.12954569
656,64,65.00419157
664,64,66.84388632
672,64,68.64217091
680,64,70.3918796
688,64,72.08517228
696,64,73.71359378
704,64,75.26816209
712,64,76.73948613
720,64,78.11791192
728,64,79.39369493
736,64,80.55719408
744,64,81.59908191
752,64,82.51056339
760,64,83.28359543
768,64,83.91109775
776,64,84.38714631
784,64,84.70714038
792,64,84.86793539
0,72,-84.86793539
8,72,-84.70714038
16,72,-84.38714631
24,72,-83.91109775
32,72,-83.28359543
40,72,-82.51056339
48,72,-81.59908191
56,72,-80.55719408
64,72,-79.39369493
72,72,-78.11791192
80,72,-76.73948613
88,72,-75.26816209
96,72,-73.71359378
104,72,-72.08517228
112,72,-70.3918796
120,72,-68.64217091
128,72,-66.84388632
136,72,-65.00419157
144,72,-63.12954569
152,72,-61.22569309
160,72,-59.29767627
168,72,-57.3498656
176,72,-55.38600196
184,72,-53.40924844
192,72,-51.42224762
200,72,-49.42718118
208,72,-47.42582931
216,72,-45.41962791
224,72,-43.40972201
232,72,-41.39701436
240,72,-39.38220874
248,72,-37.36584776
256,72,-35.34834512
264,72,-33.33001281
272,72,-31.31108354
280,72,-29.29172902
288,72,-27.27207457
296,72,-25.25221068
304,72,-23.23220198
312,72,-21.21209417
320,72,-19.19191919
328,72,-17.17171717
336,72,-15.15151515
344,72,-13.13131313
352,72,-11.11111111
360,72,-9.090909091
368,72,-7.070707071
376,72,-5.050505051
384,72,-3.03030303
392,72,-1.01010101
400,72,1.01010101
408,72,3.03030303
416,72,5.050505051
424,72,7.070707071
432,72,9.090909091
440,72,11.11111111
448,72,13.13131313
456,72,15.15151515
464,72,17.17171717
472,72,19.19191919
480,72,21.21209417
488,72,23.23220198
496,72,25.25221068
504,72,27.27207457
512,72,29.29172902
520,72,31.31108354
528,72,33.33001281
536,72,35.34834512
544,72,37.36584776
552,72,39.38220874
560,72,41.39701436
568,72,43.40972201
576,72,45.41962791
584,72,47.42582931
592,72,49.42718118
600,72,51.42224762
608,72,53.40924844
616,72,55.38600196
624,72,57.3498656
632,72,59.29767627
640,72,61.22569309
648,72,63.12954569
656,72,65.00419157
664,72,66.84388632
672,72,68.64217091
680,72,70.3918796
688,72,72.08517228
696,72,73.71359378
704,72,75.26816209
712,72,76.73948613
720,72,78.11791192
728,72,79.39369493
736,72,80.55719408
744,72,81.59908191
752,72,82.51056339
760,72,83.28359543
768,72,83.91109775
776,72,84.38714631
784,72,84.70714038
792,72,84.86793539
0,80,-84.86793539
8,80,-84.70714038
16,80,-84.38714631
24,80,-83.91109775
32,80,-83.28359543
40,80,-82.51056339
48,80,-81.59908191
56,80,-80.55719408
64,80,-79.39369493
72,80,-78.11791192
80,80,-76.73948613
88,80,-75.26816209
96,80,-73.71359378
104,80,-72.08517228
112,80,-70.3918796
120,80,-68.64217091
128,80,-66.84388632
136,80,-65.00419157
144,80,-63.12954569
152,80,-61.22569309
160,80,-59.29767627
168,80,-57.3498656
176,80,-55.38600196
184,80,-53.40924844
192,80,-51.42224762
200,80,-49.42718118
208,80,-47.42582931
216,80,-45.41962791
224,80,-43.40972201
232,80,-41.39701436
240,80,-39.38220874
248,80,-37.36584776
256,80,-35.34834512
264,80,-33.33001281
272,80,-31.31108354
280,80,-29.29172902
288,80,-27.27207457
296,80,-25.25221068
304,80,-23.23220198
312,80,-21.21209417
320,80,-19.19191919
328,80,-17.17171717
336,80,-15.15151515
344,80,-13.13131313
352,80,-11.11111111
360,80,-9.090909091
368,80,-7.070707071
376,80,-5.050505051
384,80,-3.03030303
392,80,-1.01010101
400,80,1.01010101
408,80,3.03030303
416,80,5.050505051
424,80,7.070707071
432,80,9.090909091
440,80,11.11111111
448,80,13.13131313
456,80,15.15151515
464,80,17.17171717
472,80,19.19191919
480,80,21.21209417
488,80,23.23220198
496,80,25.25221068
504,80,27.27207457
512,80,29.29172902
520,80,31.31108354
528,80,33.33001281
536,80,35.34834512
544,80,37.36584776
552,80,39.38220874
560,80,41.39701436
568,80,43.40972201
576,80,45.41962791
584,80,47.42582931
592,80,49.42718118
600,80,51.42224762
608,80,53.40924844
616,80,55.38600196
624,80,57.3498656
632,80,59.29767627
640,80,61.22569309
648,80,63.12954569
656,80,65.00419157
664,80,66.84388632
672,80,68.64217091
680,80,70.3918796
688,80,72.08517228
696,80,73.71359378
704,80,75.26816209
712,80,76.73948613
720,80,78.11791192
728,80,79.39369493
736,80,80.55719408
744,80,81.59908191
752,80,82.51056339
760,80,83.28359543
768,80,83.91109775
776,80,84.38714631
784,80,84.70714038
792,80,84.86793539
0,88,-84.86793539
8,88,-84.70714038
16,88,-84.38714631
24,88,-83.91109775
32,88,-83.28359543
40,88,-82.51056339
48,88,-81.59908191
56,88,-80.55719408
64,88,-79.39369493
72,88,-78.11791192
80,88,-76.73948613
88,88,-75.26816209
96,88,-73.71359378
104,88,-72.08517228
112,88,-70.3918796
120,88,-68.64217091
128,88,-66.84388632
136,88,-65.00419157
144,88,-63.12954569
152,88,-61.22569309
160,88,-59.29767627
168,88,-57.3498656
176,88,-55.38600196
184,88,-53.40924844
192,88,-51.42224762
200,88,-49.42718118
208,88,-47.42582931
216,88,-45.41962791
224,88,-43.40972201
232,88,-41.39701436
240,88,-39.38220874
248,88,-37.36584776
256,88,-35.34834512
264,88,-33.33001281
272,88,-31.31108354
280,88,-29.29172902
288,88,-27.27207457
296,88,-25.25221068
304,88,-23.23220198
312,88,-21.21209417
320,88,-19.19191919
328,88,-17.17171717
336,88,-15.15151515
344,88,-13.13131313
352,88,-11.11111111
360,88,-9.090909091
368,88,-7.070707071
376,88,-5.050505051
384,88,-3.03030303
392,88,-1.01010101
400,88,1.01010101
408,88,3.03030303
416,88,5.050505051
424,88,7.070707071
432,88,9.090909091
440,88,11.11111111
448,88,13.13131313
456,88,15.15151515
464,88,17.17171717
472,88,19.19191919
480,88,21.21209417
488,88,23.23220198
496,88,25.25221068
504,88,27.27207457
512,88,29.29172902
520,88,31.31108354
528,88,33.33001281
536,88,35.34834512
544,88,37.36584776
552,88,39.38220874
560,88,41.39701436
568,88,43.40972201
576,88,45.41962791
584,88,47.42582931
592,88,49.42718118
600,88,51.42224762
608,88,53.40924844
616,88,55.38600196
624,88,57.3498656
632,88,59.29767627
640,88,61.22569309
648,88,63.12954569
656,88,65.00419157
664,88,66.84388632
672,88,68.64217091
680,88,70.3918796
688,88,72.08517228
696,88,73.71359378
704,88,75.26816209
712,88,76.73948613
720,88,78.11791192
728,88,79.39369493
736,88,80.55719408
744,88,81.59908191
752,88,82.51056339
760,88,83.28359543
768,88,83.91109775
776,88,84.38714631
784,88,84.70714038
792,88,84.86793539
0,96,-84.86793539
8,96,-84.70714038
16,96,-84.38714631
24,96,-83.91109775
32,96,-83.28359543
40,96,-82.51056339
48,96,-81.59908191
56,96,-80.55719408
64,96,-79.39369493
72,96,-78.11791192
80,96,-76.73948613
88,96,-75.26816209
96,96,-73.71359378
104,96,-72.08517228
112,96,-70.3918796
120,96,-68.64217091
128,96,-66.84388632
136,96,-65.00419157
144,96,-63.12954569
152,96,-61.22569309
160,96,-59.29767627
168,96,-57.3498656
176,96,-55.38600196
184,96,-53.40924844
192,96,-51.42224762
200,96,-49.42718118
208,96,-47.42582931
216,96,-45.41962791
224,96,-43.40972201
232,96,-41.39701436
240,96,-39.38220874
248,96,-37.36584776
256,96,-35.34834512
264,96,-33.33001281
272,96,-31.31108354
280,96,-29.29172902
288,96,-27.27207457
296,96,-25.25221068
304,96,-23.23220198
312,96,-21.21209417
320,96,-19.19191919
328,96,-17.17171717
336,96,-15.15151515
344,96,-13.13131313
352,96,-11.11111111
360,96,-9.090909091
368,96,-7.070707071
376,96,-5.050505051
384,96,-3.03030303
392,96,-1.01010101
400,96,1.01010101
408,96,3.03030303
416,96,5.050505051
424,96,7.070707071
432,96,9.090909091
440,96,11.11111111
448,96,13.13131313
456,96,15.15151515
464,96,17.17171717
472,96,19.19191919
480,96,21.21209417
488,96,23.23220198
496,96,25.25221068
504,96,27.27207457
512,96,29.29172902
520,96,31.31108354
528,96,33.33001281
536,96,35.34834512
544,96,37.36584776
552,96,39.38220874
560,96,41.39701436
568,96,43.40972201
576,96,45.41962791
584,96,47.42582931
592,96,49.42718118
600,96,51.42224762
608,96,53.40924844
616,96,55.38600196
624,96,57.3498656
632,96,59.29767627
640,96,61.22569309
648,96,63.12954569
656,96,65.00419157
664,96,66.84388632
672,96,68.64217091
680,96,70.3918796
688,96,72.08517228
696,96,73.71359378
704,96,75.26816209
712,96,76.73948613
720,96,78.11791192
728,96,79.39369493
736,96,80.55719408
744,96,81.59908191
752,96,82.51056339
760,96,83.28359543
768,96,83.91109775
776,96,84.38714631
784,96,84.70714038
792,96,84.86793539
0,104,-84.86793539
8,104,-84.70714038
16,104,-84.38714631
24,104,-83.91109775
32,104,-83.28359543
40,104,-82.51056339
48,104,-81.59908191
56,104,-80.55719408
64,104,-79.39369493
72,104,-78.11791192
80,104,-76.73948613
88,104,-75.26816209
96,104,-73.71359378
104,104,-72.08517228
112,104,-70.3918796
120,104,-68.64217091
128,104,-66.84388632
136,104,-65.00419157
144,104,-63.12954569
152,104,-61.22569309
160,104,-59.29767627
168,104,-57.3498656
176,104,-55.38600196
184,104,-53.40924844
192,104,-51.42224762
200,104,-49.42718118
208,104,-47.42582931
216,104,-45.41962791
224,104,-43.40972201
